Line No.,Cost Center Description,10/01/2012,TO,09/30/2013,State,of,Massachusetts,-
45,Contr Adj & Provision for Bad D,"117,340,214","7,259,012","46,400,678","6,754,815","5,988,410","1,283,348",45
46,GL Pat,"1,834,203",46,,,,,
47,Employee,47,,,,,,
48,Courtesy,"297,544",48,,,,,
49,Other Free Care,"25,944",49,,,,,
50,Total Free Care,"2,157,691",50,,,,,
51,Total Deductions,"119,497,905","7,259,012","46,400,678","6,754,815","5,988,410","1,283,348",51
52,Gross Receipts From HSN,"1,009,906",52,,,,,
52.01,Total Net Patient Svc Revenue,"107,066,968","5,764,346","39,436,507","6,036,299","3,650,539","777,184",52.01
52.02,Total Premium Revenue,52.02,,,,,,
53,Provision for Bad Debts,"5,951,830","343,654","2,265,028","337,525","254,348","54,372",53
54,Bad Debt Write-Off,"6,164,854","835,377",54,,,,
55,Inpatient Routine,"33,095,343","2,076,114","14,777,252","3,987,330","1,187,044","27,098",55
56,Inpatient Ancillary,"44,529,260","3,664,756","23,476,171","1,952,379","1,655,189","178,884",56
57,Total Inpatient Svc Revenue,"77,624,603","5,740,870","38,253,423","5,939,709","2,842,233","205,982",57
58,Contr Adj & Provision for Bad D,"30,006,350","2,732,675","17,075,445","2,055,589","721,002",58,
59,General Ledger Patient,"1,035,774",59,,,,,
60,Employee,60,,,,,,
61,Courtesy,"22,144",61,,,,,
62,Other Free Care,"25,944",62,,,,,
63,Total Free Care,"1,083,862",63,,,,,
64,Total Deductions,"31,090,212","2,732,675","17,075,445","2,055,589","721,002",64,
65,Gross Receipts From HSN,"570,293",65,,,,,
65.01,Net Inpatient Svc Revenue,"47,104,684","3,008,195","21,177,978","3,884,120","2,121,231",65.01,
65.02,Inpatient Premium Revenue,65.02,,,,,,
66,Provision for Bad Debts,"2,048,319","151,487","1,009,412","156,734","74,999",66,
67,Bad Debt Write-Off,"1,136,545","519,237",67,,,,
68,Outpatient Routine,"42,944,424","2,394,348","15,122,356","2,292,791","2,437,620","610,143",68
69,Outpatient Ancillary,"104,985,940","4,888,140","32,461,406","4,558,614","4,359,096","1,244,407",69
70,Total Outpatient Svc Revenue,"147,930,364","7,282,488","47,583,762","6,851,405","6,796,716","1,854,550",70
71,Contr Adj & Provision for Bad D,"87,333,864","4,526,337","29,325,233","4,699,226","5,267,408",71,
72,GL Pat,"798,429",72,,,,,
73,Employee,73,,,,,,
74,Courtesy,"275,400",74,,,,,
75,Other Free Care,75,,,,,,
76,Total Free Care,"1,073,829",76,,,,,
77,Total Deductions,"88,407,693","4,526,337","29,325,233","4,699,226","5,267,408",77,
78,Gross Receipts From HSN,"439,613",78,,,,,
78.01,Net Outpatient Svc Revenue,"59,962,284","2,756,151","18,258,529","2,152,179","1,529,308",78.01,
78.02,Outpatient Premium Revenue,78.02,,,,,,
79,Provision for Bad Debts,"3,903,511","192,167","1,255,616","180,791","179,349",79,
80,Bad Debt Write-Off,"5,028,309","316,140",80,,,,
