Line No.,Cost Center Description,Expense Before Reclassi-fication,Direct Expense,Expense After Stepdown(Excl Cap),Expense After Stepdown(Incl Cap),Patient Service Expense By Dept(Excl Cap),Patient Service Expense By Dept(Incl Cap),Gross Revenue by Department,Patient Expense by Service(Excl Cap),Patient Expense by Service(Incl Cap),Gross Revenue by Service,Non-Physician FTE,Physician FTE,Number of Units,Unit of measure
60,Respiratory Therapy,"10,77,625","9,23,731","16,89,578","17,31,767","16,89,578","17,31,767","58,02,472",11.5,0.02,60,,,"62,645",Treatments
61,Pulmonary Function Test,"5,99,014","5,61,009","8,92,902","9,04,617","8,92,902","9,04,617","15,68,261",6.31,61,,,,"2,335",Cap
62,Electroencephalography,"54,044","47,691","1,13,448","1,23,190","1,13,448","1,23,190","2,71,191",0.71,62,,,,576,RVU
63,Electromyography,63,,,,,,63,,,,,,,
63,Electromyography RVU,,,,,,,,,,,,,63,
64,Physical Therapy,"20,54,515","18,72,023","32,52,254","33,37,415","32,52,254","33,37,415","52,15,347",25.21,64,,,,"97,369",Treatments
65,Occupational Therapy,65,,,,,,65,,,,,,,
65,Occupational Therapy Treatments,,,,,,,,,,,,,65,
66,Speech-Language Therapy,66,,,,,,66,,,,,,,
66,Speech-Language Therapy Sessions,,,,,,,,,,,,,66,
67,Recreational Therapy,67,,,,,,67,,,,,,,
67,Recreational Therapy Treatments,,,,,,,,,,,,,67,
68,Audiology,68,,,,,,68,,,,,,,
68,Audiology Procedures,,,,,,,,,,,,,68,
69,Psychology / Psychiatry,69,,,,,,69,,,,,,,
69,Psychology / Psychiatry Treatments,,,,,,,,,,,,,69,
70,Renal Dialysis,70,,,,,,70,,,,,,,
70,Renal Dialysis Treatments,,,,,,,,,,,,,70,
71,Organ Acquisition,71,,,,,,71,,,,,,,
71,Organ Acquisition Organs,,,,,,,,,,,,,71,
72,Ambulance,72,,,,,,72,,,,,,,
72,Ambulance Occasions of Service,,,,,,,,,,,,,72,
73,Other Ancillary (Specify),73,,,,,,73,,,,,,,
73,Other Ancillary (Specify) (Specify),,,,,,,,,,,,,73,
74,Other Ancillary (Specify),74,,,,,,74,,,,,,,
74,Other Ancillary (Specify) (Specify),,,,,,,,,,,,,74,
75,Other Ancillary (Specify),75,,,,,,75,,,,,,,
75,Other Ancillary (Specify) (Specify),,,,,,,,,,,,,75,
76,Other Ancillary (Specify),76,,,,,,76,,,,,,,
76,Other Ancillary (Specify) (Specify),,,,,,,,,,,,,76,
77,Other Ancillary (Specify),77,,,,,,77,,,,,,,
77,Other Ancillary (Specify) (Specify),,,,,,,,,,,,,77,
78,Subtotal Ancillary,"2,94,14,469","2,36,95,193","4,94,83,866","5,01,77,015","4,94,83,866","5,01,77,015","14,95,15,200",193.94,6.48,78,,,78,
79,Medical & Surgical Acute,"1,00,04,748","92,14,038","1,90,41,842","1,94,01,322","1,76,25,075","1,79,54,882","1,65,52,039","2,84,30,033","2,89,26,896","5,35,55,714",103.73,2.85,"16,460",Patient
80,Pediatric Acute,"4,36,751","4,06,319","8,43,220","8,80,268","8,43,220","8,80,268","1,40,000","9,06,773","9,44,741","3,75,072",3.57,80,108,Patient
81,Obstetric Acute,"15,95,219","11,69,343","29,91,856","30,69,178","28,23,765","28,97,566","20,11,578","43,16,704","44,08,452","38,60,548",28.98,81,"1,952",Patient
82,Psychiatric Acute,"28,48,837","26,49,089","51,66,873","52,79,389","46,62,600","47,64,554","60,75,110","48,96,461","49,98,791","76,04,966",29.39,1.53,"5,977",Patient
83,Ventilator Unit,83,,,,,,83,,,,,,83,
84,Skilled Nursing Facilities,84,,,,,,84,,,,,,84,
85,Pediatric Psych,"26,30,992","26,26,460","31,41,923","32,08,711","28,29,754","28,90,004","37,27,000","27,92,693","28,51,563","40,62,172",85,,"3,726",Patient
86,Other Acute (Specify),86,,,,,,86,,,,,,86,
87,Other Acute (Specify),87,,,,,,87,,,,,,87,
88,Subtotal Acute,"1,75,16,547","1,60,65,249","3,11,85,714","3,18,38,868","2,87,84,414","2,93,87,274","2,85,05,727","4,13,42,664","4,21,30,443","6,94,58,472",165.67,4.38,"28,223",88
89,Med/Surg Intensive Care,"22,45,940","19,97,940","38,45,333","39,18,731","38,45,333","39,18,731","34,02,912","46,88,784","47,73,355","62,69,420",19.59,89,"1,893",Patient
90,Coronary Intensive Care,90,,,,,,90,,,,,,90,
91,Neonatal Intensive Care,91,,,,,,91,,,,,,91,
92,Other ICU (Specify),92,,,,,,92,,,,,,92,
93,Other ICU (Specify),93,,,,,,93,,,,,,93,
94,Other ICU (Specify),94,,,,,,94,,,,,,94,
95,Other ICU (Specify),95,,,,,,95,,,,,,95,
96,Other ICU (Specify),96,,,,,,96,,,,,,96,
97,Subtotal Intensive Care,"22,45,940","19,97,940","38,45,333","39,18,731","38,45,333","39,18,731","34,02,912","46,88,784","47,73,355","62,69,420",19.59,97,"1,893",97
98,Newborn Nursery,"5,57,437","5,09,634","10,52,595","10,77,837","10,52,595","10,77,837","7,57,704","16,35,618","16,69,425","12,16,488",4.8,98,"1,572",Patient
98.01,Special Care Nursery,"6,27,108","6,27,108","10,56,939","10,61,860","10,56,939","10,61,860","4,29,000","11,51,599","11,57,189","6,80,223",98.01,,429,Patient
99,Chronic / Rehabilitation,99,,,,,,99,,,,,,99,
100,Subtotal Routine Inpat Care,"2,09,47,032","1,91,99,931","3,71,40,581","3,78,97,296","3,47,39,281","3,54,45,702","3,30,95,343","4,88,18,665","4,97,30,412","7,76,24,603",190.06,4.38,"32,117",100
101,Emergency Services,"48,17,208","42,03,385","89,83,766","91,29,947","89,83,766","91,29,947","2,43,95,542","1,21,19,948","1,23,00,783","3,64,74,664",42.9,1,"31,627",Visits
102,Clinic / Ambulatory Services,"26,99,570","23,84,229","48,40,271","49,61,065","48,40,271","49,61,065","84,54,923","85,75,653","87,07,619","1,78,55,797",20.46,0.88,"14,734",102
102.01,Clinic / Ambulatory Svcs (Speci,"26,99,570","23,84,229","48,40,271","49,61,065","48,40,271","49,61,065","84,54,923","85,75,653","87,07,619","1,78,55,797",20.46,0.88,"14,734",Visits
103,Satellite Clinic Services,103,,,,,,103,,,,,,103,
104,Ambulatory Surgical Services,"18,82,824","14,19,675","31,14,311","31,73,528","31,14,311","31,73,528","65,99,340","1,32,76,533","1,35,00,123","3,05,35,711",12.15,104,"6,467",Visits
105,Ambulatory Renal Dialysis,105,,,,,,105,,,,,,105,
106,Home Dialysis Services,106,,,,,,106,,,,,,106,
107,Psychiatry,"22,833","34,037","34,121","34,037","34,121",107,"61,524","34,037","34,121","61,524",107,,137,Visits
108,Home Health Services,108,,,,,,108,,,,,,108,
109,Observation Beds,"24,01,300","24,51,594",109,,,,"34,33,095","34,48,955","35,14,676","61,27,203",109,,"2,351",Visits
110,Private Referrals,110,,,,,,"1,73,23,041","1,75,85,238","5,68,75,465",110,,,110,
111,Hospital Licensed Health Center,111,,,,,,111,,,,,,111,
112,Other Ambulatory (Specify),112,,,,,,112,,,,,,112,
113,Other Ambulatory (Specify),113,,,,,,113,,,,,,113,
114,Subtotal Routine Ambul Svcs,"93,99,602","80,30,122","1,69,72,385","1,72,98,661","1,93,73,685","1,97,50,255","4,29,44,424","5,47,78,167","5,56,42,560","14,79,30,364",75.51,1.88,114,
115,Total Patient Care,"5,97,61,103","5,09,25,246","10,35,96,832","10,53,72,972","10,35,96,832","10,53,72,972","22,55,54,967","10,35,96,832","10,53,72,972","22,55,54,967",459.51,12.74,115,
116,Total Pat Care & Overhead,"10,94,08,232","10,61,07,012","10,35,96,832","10,53,72,972","10,35,96,832","10,53,72,972","22,55,54,967","10,35,96,832","10,53,72,972","22,55,54,967",715.11,13.97,116,
117,Non-Patient Ancillary,117,,,,,,117,,,,,,117,
118,Research,118,,,,,,118,,,,,,118,
119,Other Non-Patient,"5,94,869","5,39,570","11,81,240","12,73,610","11,81,240","12,73,610","11,81,240","12,73,610",6.47,0.1,119,,119,
120,Subtotal Non-Patient,"5,94,869","5,39,570","11,81,240","12,73,610","11,81,240","12,73,610","11,81,240","12,73,610",6.47,0.1,120,,120,
121,Recovery of Expenses,"33,56,519","33,56,519","33,56,519","33,56,519","33,56,519",121,"33,56,519","33,56,519",121,,,,121,
122,Total Patient/Non-Patient,"11,00,03,101","11,00,03,101","10,81,34,591","11,00,03,101","10,81,34,591","11,00,03,101","22,55,54,967","10,81,34,591","11,00,03,101","22,55,54,967",721.58,14.07,122,
123,Provision for Bad Debt,123,,,,,,123,,,,,,123,
123.01,GP UPC Assessment,"6,58,950","6,58,950","6,58,950","6,58,950","6,58,950","6,58,950","6,58,950","6,58,950",123.01,,,,123.01,
124,Total Patient/Non-Pat/Bad Debt,"11,06,62,051","11,06,62,051","10,87,93,541","11,06,62,051","10,87,93,541","11,06,62,051","22,55,54,967","10,87,93,541","11,06,62,051","22,55,54,967",721.58,14.07,124,
